iter	RMSE
492	6688.015142
493	6685.192526
494	6683.365373
495	6680.606848
496	6678.799539
497	6674.746968
498	6672.133884
499	6670.678869
500	6666.817136
501	6662.695598
502	6660.295828
503	6657.919594
504	6654.773618
505	6651.582962
506	6649.358519
507	6645.552007
508	6642.86075
509	6639.428607
510	6637.829427
511	6636.661422
512	6633.624155
513	6630.063143
514	6627.720764
515	6624.43767
516	6621.791912
517	6619.07751
518	6616.777986
519	6614.110071
520	6611.86433
521	6610.396193
522	6605.452482
523	6603.430727
524	6600.520308
525	6598.691037
526	6596.728726
527	6592.900811
528	6589.651652
529	6588.292473
530	6585.357972
531	6581.99292
532	6579.825632
533	6577.13417
534	6574.638443
535	6571.847179
536	6569.155833
537	6567.055101
538	6564.733404
539	6559.71708
540	6557.605126
541	6554.862028
542	6552.114498
543	6548.994775
544	6547.524861
545	6543.539228
546	6541.368552
547	6538.449793
548	6535.703754
549	6533.32346
550	6532.319349
551	6529.30264
552	6523.201185
553	6520.026759
554	6518.454101
555	6517.003675
556	6514.426928
557	6513.066181
558	6508.706059
559	6505.842199
560	6504.561215
561	6499.177288
562	6496.352764
563	6493.331976
564	6491.553199
565	6490.461488
566	6488.714385
567	6487.225669
568	6482.749525
569	6479.890786
570	6477.95672
571	6475.107607
572	6473.521623
573	6469.988288
574	6468.091177
575	6464.978686
576	6461.786958
577	6459.101241
578	6457.389727
579	6455.041447
580	6453.517322
581	6452.29747
582	6446.120257
583	6440.765979
584	6438.342025
585	6436.800196
586	6424.835613
587	6422.069068
588	6420.215622
589	6417.862713
590	6415.611456
591	6414.146795
592	6411.41953
593	6409.182172
594	6406.480271
595	6403.493259
596	6401.648482
597	6399.836586
598	6397.612688
599	6392.663212
600	6389.677685
601	6387.970454
602	6386.441674
603	6385.125711
604	6382.13584
605	6377.809006
606	6373.731836
607	6371.850343
608	6368.861359
609	6367.842748
610	6363.900116
611	6362.041664
612	6360.703122
613	6359.155634
614	6356.099897
615	6354.645283
616	6353.188777
617	6351.663733
618	6350.196907
619	6348.955925
620	6346.229555
621	6343.902366
622	6342.254935
623	6338.846677
624	6335.982071
625	6333.548467
626	6331.699648
627	6330.195081
628	6327.279913
629	6323.964285
630	6320.484009
631	6318.599789
632	6316.482838
633	6314.768495
634	6313.29613
635	6312.376966
636	6309.878251
637	6308.197031
638	6306.902813
639	6304.759244
640	6292.850017
641	6291.441283
642	6286.999929
643	6284.305938
644	6282.70768
645	6281.223177
646	6279.179329
647	6278.231051
648	6276.358599
649	6274.383265
650	6272.865533
651	6269.924422
652	6266.859668
653	6265.268037
654	6260.555064
655	6259.352576
656	6258.343074
657	6255.361663
658	6252.215196
659	6250.625492
660	6246.875587
661	6245.208638
662	6243.572126
663	6241.981997
664	6240.132948
665	6237.445128
666	6234.616205
667	6231.409764
668	6225.966386
669	6224.978212
670	6221.5913
671	6219.916049
672	6218.790983
673	6214.713915
674	6213.344402
675	6211.775306
676	6210.457213
677	6208.852475
678	6204.499733
679	6202.288366
680	6199.266532
681	6197.597869
682	6196.192425
683	6194.160616
684	6192.980513
685	6185.460096
686	6183.315709
687	6181.417867
688	6179.073713
689	6177.660856
690	6176.79669
691	6174.737263
692	6172.757229
693	6171.185492
694	6169.477674
695	6165.904671
696	6163.787157
697	6162.588775
698	6159.405332
699	6157.420089
700	6153.401709
701	6152.195575
702	6150.920686
703	6146.451269
704	6143.311366
705	6141.702244
706	6139.865337
707	6139.030435
708	6137.109788
709	6130.467479
710	6128.595156
711	6126.526376
712	6124.127332
713	6123.248855
714	6121.263091
715	6119.012714
716	6116.891186
717	6113.531904
718	6109.999342
719	6108.811454
720	6107.223682
721	6103.545015
722	6102.134846
723	6101.067082
724	6100.303995
725	6098.840475
726	6097.421282
727	6094.072683
728	6092.887501
729	6091.297525
730	6089.196866
731	6087.115457
732	6084.252534
733	6082.388833
734	6079.307514
735	6078.262947
736	6076.483029
737	6073.935858
738	6071.47599
739	6070.353022
740	6068.816606
741	6066.891772
742	6053.436779
743	6052.103963
744	6051.008278
745	6049.598272
746	6045.446844
747	6043.759052
748	6041.953079
749	6040.352794
750	6038.431625
751	6037.253013
752	6035.257403
753	6033.922278
754	6030.914501
755	6028.102607
756	6026.021764
757	6024.269919
758	6022.463265
759	6021.128477
760	6019.172807
761	6017.752056
762	6013.33116
763	6009.453464
764	6007.602659
765	6005.887422
766	6004.234367
767	6001.539581
768	5999.436819
769	5998.071154
770	5996.374579
771	5992.728898
772	5991.408679
773	5990.175134
774	5989.137019
775	5987.061097
776	5985.85417
777	5984.865961
778	5983.120459
779	5981.620932
780	5980.241737
781	5979.155585
782	5978.366791
783	5977.328823
784	5976.400528
785	5973.10704
786	5971.515688
787	5970.605021
788	5969.50169
789	5967.744195
790	5966.833642
791	5964.912505
792	5962.461149
793	5961.57831
794	5960.576049
795	5958.300188
796	5956.484771
797	5955.373044
798	5954.391901
799	5953.2036
800	5952.349424
801	5950.544495
802	5949.000328
803	5947.776258
804	5946.247637
805	5939.574716
806	5938.034187
807	5934.136961
808	5932.546529
809	5931.140735
810	5927.814597
811	5926.641192
812	5925.037889
813	5919.706972
814	5919.065399
815	5917.327458
816	5916.308503
817	5915.556939
818	5914.618933
819	5913.111939
820	5910.480501
821	5909.443202
822	5905.589806
823	5901.665153
824	5899.25119
825	5895.596218
826	5893.700303
827	5891.108273
828	5888.497415
829	5887.680873
830	5886.861811
831	5885.322885
832	5883.281893
833	5881.953585
834	5879.887964
835	5878.704618
836	5876.167381
837	5874.406723
838	5873.411998
839	5872.067009
840	5870.849211
841	5868.137459
842	5866.847516
843	5865.873064
844	5864.374052
845	5862.372745
846	5861.058283
847	5858.974836
848	5857.118085
849	5855.804371
850	5854.55948
851	5848.952611
852	5847.24219
853	5845.721673
854	5844.033229
855	5840.478246
856	5839.590582
857	5836.489715
858	5835.455342
859	5833.63185
860	5832.011151
861	5826.062355
862	5823.675763
863	5819.54687
864	5817.991163
865	5816.539971
866	5814.787669
867	5814.067372
868	5812.006592
869	5810.811964
870	5809.674825
871	5808.346403
872	5806.178846
873	5805.064366
874	5803.679505
875	5802.248401
876	5800.456516
877	5799.549552
878	5798.871427
879	5798.234626
880	5797.537157
881	5795.49672
882	5794.130139
883	5793.051311
884	5791.798712
885	5790.246823
886	5788.863918
887	5787.082004
888	5785.306475
889	5783.770402
890	5781.64609
891	5777.337423
892	5776.028015
893	5774.745454
894	5773.339296
895	5772.493993
896	5771.330511
897	5769.179894
898	5766.449988
899	5764.85207
900	5763.685185
901	5762.550853
902	5761.263213
903	5760.199746
904	5759.075926
905	5757.354367
906	5756.212372
907	5745.856597
908	5744.841747
909	5741.272474
910	5740.294516
911	5737.960835
912	5737.251264
913	5736.095768
914	5734.651369
915	5733.504328
916	5731.211259
917	5730.282926
918	5724.415445
919	5722.954308
920	5720.457608
921	5719.783377
922	5718.579942
923	5716.730626
924	5714.490949
925	5713.883673
926	5712.320474
927	5711.481842
928	5710.497575
929	5707.78461
930	5706.963149
931	5704.416135
932	5703.75834
933	5702.294142
934	5701.438719
935	5700.399117
936	5699.637413
937	5698.242541
938	5697.722362
939	5696.580063
940	5695.25017
941	5694.484114
942	5692.594425
943	5688.054054
944	5686.813488
945	5685.548476
946	5684.568187
947	5683.645583
948	5682.801673
949	5681.278106
950	5677.628964
951	5676.766846
952	5675.812363
953	5674.653174
954	5673.027638
955	5671.966494
956	5670.185989
957	5668.237506
958	5667.409241
959	5666.78656
960	5665.334703
961	5664.097287
962	5661.891464
963	5659.564912
964	5658.133076
965	5656.004023
966	5654.122536
967	5652.101715
968	5650.790231
969	5649.432088
970	5648.714529
971	5647.019785
972	5646.049227
973	5644.598945
974	5643.29879
975	5642.287018
976	5641.613666
977	5640.49853
978	5628.550867
979	5627.34615
980	5624.324908
981	5623.314894
982	5622.240573
983	5620.943501
984	5619.382387
985	5618.378354
986	5616.681326
987	5615.733584
988	5614.075709
989	5612.403352
990	5609.077321
991	5608.49602
992	5607.504006
993	5606.087264
994	5604.71173
995	5602.653161
996	5601.549792
997	5600.234457
998	5597.874312
999	5596.01493
